ID,Label,x,y,nodeid
1,,729393.1398570567,2085957.2594007365,1
2,,729636.656177828,2085981.5953161083,2
3,,729632.566429928,2086008.7334182076,3
4,,729138.3977879616,2085956.7557688225,4
7,,731300.4306920073,2086042.128582744,7
8,,731335.8698930086,2085961.3164107315,8
10,,730299.3834159945,2086050.7532797512,10
11,,730294.1748352922,2086077.7322611157,11
16,,731243.994954289,2086150.3232509494,16
19,,731223.7141763233,2086182.524339525,19
24,,731704.4921865334,2086278.3720155694,24
25,,731693.2376106215,2086295.821216127,25
29,,704925.8807442497,2085991.1439703833,29
30,,704927.6283836864,2085938.8708151747,30
32,,704933.053626189,2085938.8682075832,32
33,,701843.7177093264,2086010.784229705,33
34,,701841.5900049172,2085940.8549691364,34
35,,701856.014951383,2085940.84343189,35
37,,720105.3263783831,2086221.197652638,37
38,,720387.4324453328,2085943.4435486067,38
39,,704950.0163477552,2085938.8600224033,39
40,,704945.2468068243,2086093.5374536384,40
42,,732144.2093038908,2086460.148783151,42
43,,732132.9992699204,2086481.9563629162,43
47,,704917.1995067823,2086272.8195437826,47
52,,732579.4774884856,2086655.5258350484,52
54,,704937.7462246572,2086326.8763014823,54
55,,732564.6883410075,2086680.4898760617,55
59,,704911.8107676334,2086438.4252206106,59
61,,704923.9931861516,2086455.6875647586,61
66,,704932.6751187395,2086488.2159680016,66
69,,704906.538698413,2086606.3387506772,69
73,,691373.6720397919,2085954.7667822316,73
74,,691577.7584950486,2086523.2196305674,74
76,,692503.2793347934,2085952.7315737102,76
78,,704925.9734544974,2086700.3827599715,78
79,,691256.6154052885,2086785.9211051147,79
81,,704895.5996243611,2086957.2429337148,81
86,,734273.7893268085,2087432.1234526355,86
87,,691404.5080067113,2086964.6260495353,87
89,,734257.4138537846,2087459.4143152107,89
92,,704913.1949942717,2087112.8573683575,92
93,,691365.4106665247,2086999.195123583,93
96,,734531.887850851,2087550.5943763591,96
97,,734531.8904924631,2087583.7830456104,97
99,,704887.6818486981,2087224.6880383175,99
101,,704899.003342471,2087245.0129515324,101
106,,704908.9473438947,2087268.4281917922,106
109,,690846.1546405319,2087143.5544656087,109
112,,704906.0698916046,2087367.602480404,112
113,,704882.0668559152,2087389.5261685774,113
117,,704879.6280108476,2087461.5805824623,117
119,,704890.7320390701,2087478.4544702396,119
124,,704901.574128088,2087497.8539037015,124
127,,704875.3239084058,2087607.4699662346,127
132,,704894.787686375,2087714.5441378448,132
134,,701533.6068038645,2087693.5017409734,134
135,,711793.6175191033,2085937.9150468744,135
136,,712799.4231643584,2087831.2238270044,136
137,,704870.9236470478,2087765.9667893033,137
139,,704869.5479693294,2087822.0306651965,139
141,,704881.2395360045,2087846.395999616,141
145,,704845.7683000969,2087856.6762598269,145
148,,704890.5535983422,2087858.2496022526,148
151,,691968.9996866443,2087730.2597417962,151
153,,704870.2748585822,2087872.2285016458,153
154,,704836.8169722172,2087869.9991972428,154
157,,704870.9945865916,2087922.2156353164,157
162,,692081.9916046624,2087812.3187007774,162
164,,692475.11604242,2087825.9942064062,164
