,OBJECTID,ID,OSM_ID,OSM_NAME,OSM_META,OSM_SOURCE,OSM_TARGET,CLAZZ,FLAGS,SOURCE,TARGET,KM,KMH,COST,REVERSE_CO,X1,Y1,X2,Y2,Shape_Leng,oneway,geometry
0,2291,191353.0,10046835.0,Throckmorton Street,,82530587.0,82530586.0,31.0,3.0,161534.0,173962.0,0.0797224,40.0,0.0019931,1000000.0,-97.3314834,32.7518935,-97.3319117,32.7525134,79.5972300396,,"LINESTRING (709492.2510271462 2120948.9991849177, 709487.7442723657 2120956.5231338423, 709471.7033378697 2120983.3031201344, 709455.3664807337 2121010.578865692, 709451.3561282983 2121017.2877332717)"
1,4821,1953809.0,115075072.0,Houston Street,,82560685.0,82442296.0,31.0,3.0,1574083.0,1574084.0,0.0777138,40.0,0.0019428,1000000.0,-97.3306889,32.7522764,-97.3302795,32.7516682,77.5888804218,,"LINESTRING (709566.2210428269 2120992.2836899925, 709569.6697844662 2120986.3670556564, 709602.1981038277 2120930.638865119, 709605.3315124807 2120925.2732033264)"
2,5090,195558.0,10049474.0,West 7th Street,,82462850.0,82435540.0,21.0,1.0,1948237.0,1775755.0,0.0800331,60.0,0.0013339,1000000.0,-97.333007,32.751159,-97.3322645,32.7515169,80.0981760769,,"LINESTRING (709350.3983612279 2120865.9704799205, 709357.7629560273 2120870.277366914, 709413.3368061951 2120902.7992138416, 709419.5281488914 2120906.4277410377)"
3,8264,191352.0,10046835.0,Throckmorton Street,,82442297.0,82530587.0,31.0,3.0,148470.0,161534.0,0.0773609,40.0,0.001934,1000000.0,-97.3310677,32.751292,-97.3314834,32.7518935,77.2400736573,,"LINESTRING (709531.9431866424 2120882.7378742434, 709496.0608460905 2120942.631875215, 709492.2510271462 2120948.9991849177)"
4,11397,191351.0,10046835.0,Throckmorton Street,,1861831923.0,82442297.0,31.0,3.0,158375.0,148470.0,0.0818299,40.0,0.0020457,1000000.0,-97.3306316,32.750654,-97.3310677,32.751292,81.7006374904,,"LINESTRING (709573.5923765434 2120812.4508642163, 709568.3869350489 2120821.2755518947, 709546.2657908788 2120858.82211202, 709531.9431866424 2120882.7378742434)"
5,11405,211078.0,10059561.0,West Weatherford Street,,82463129.0,6138269456.0,21.0,1.0,151243.0,178443.0,0.0778996,60.0,0.0012983,1000000.0,-97.33674,32.7552717,-97.3360162,32.7556185,77.9638007238,,"LINESTRING (708995.5731612046 2121318.1097854953, 709062.9627318203 2121357.314377006)"
6,11613,1953831.0,115075154.0,Commerce Street,,82496903.0,82543714.0,31.0,3.0,1574079.0,159857.0,0.0797895,40.0,0.0019947,0.0019947,-97.3303738,32.7548975,-97.3308017,32.7555183,79.6638883434,B,"LINESTRING (709592.5090862478 2121283.24138546, 709589.4057542154 2121288.44104461, 709554.2866223066 2121347.2122119255, 709551.6511906716 2121351.629741013)"
7,11812,212136.0,10060237.0,West 6th Street,,82435537.0,4844508864.0,21.0,1.0,1723743.0,173963.0,0.010712,60.0,0.0001785,1000000.0,-97.3326714,32.7521472,-97.3327708,32.7520993,10.7221326908,,"LINESTRING (709380.6258930137 2120975.8920287807, 709373.0938419041 2120971.4834579024, 709371.3714085581 2120970.4773604516)"
8,12122,195559.0,10049474.0,West 7th Street,,82435540.0,82530587.0,21.0,1.0,1775755.0,161534.0,0.0841992,60.0,0.0014033,1000000.0,-97.3322645,32.7515169,-97.3314834,32.7518935,84.2671063127,,"LINESTRING (709419.5281488914 2120906.4277410377, 709426.622685501 2120910.57642637, 709483.6483897952 2120943.9576126803, 709492.2510271462 2120948.9991849177)"
9,13133,209001.0,10058031.0,Houston Street,,82478336.0,82482159.0,21.0,3.0,171540.0,153319.0,0.0844051,60.0,0.0014068,1000000.0,-97.3336898,32.7567332,-97.3332452,32.7560726,84.2692633277,,"LINESTRING (709279.5590903374 2121483.330578549, 709290.9452582336 2121463.8176221885, 709301.5100758245 2121445.703915268, 709322.0282445891 2121410.545417959)"
10,18543,195944.0,10049817.0,East 5th Street,,82484588.0,82566090.0,21.0,1.0,161860.0,161861.0,0.0852989,60.0,0.0014216,1000000.0,-97.3307396,32.7538988,-97.3299471,32.7542786,85.3693298215,,"LINESTRING (709559.4682940478 2121172.1234241035, 709565.3804247422 2121175.5604180023, 709623.0207705195 2121209.104533244, 709633.2527603421 2121215.0626232084)"
11,18556,229715.0,10071309.0,North Houston Street,,82725577.0,82709329.0,15.0,1.0,181046.0,178965.0,0.0559366,70.0,0.0007991,1000000.0,-97.3338915,32.7585207,-97.3339585,32.7580457,55.8085769697,,"LINESTRING (709258.4612208077 2121681.31990353, 709261.42188329 2121669.5314370804, 709262.791193726 2121659.288915381, 709263.1357366003 2121651.0422046296, 709261.7106456923 2121643.518841069, 709256.5208872299 2121634.955639342, 709252.76857573 2121628.5819240995)"
12,19343,2278443.0,331961748.0,North Houston Street,,82767480.0,82579255.0,15.0,1.0,187033.0,1775750.0,0.0251552,70.0,0.0003594,1000000.0,-97.3342858,32.7576129,-97.3341615,32.7574144,25.112685582,,"LINESTRING (709222.6360536133 2121580.252453955, 709226.7015400762 2121569.3855711836, 709234.5261611538 2121558.3718880136)"
13,21891,195560.0,10049474.0,West 7th Street,,82530587.0,82560685.0,21.0,1.0,161534.0,1574083.0,0.0856344,60.0,0.0014272,1000000.0,-97.3314834,32.7518935,-97.3306889,32.7522764,85.703626587,,"LINESTRING (709492.2510271462 2120948.9991849177, 709498.2003021609 2120952.480907129, 709558.028032916 2120987.490578804, 709566.2210428269 2120992.2836899925)"
14,22359,212134.0,10060237.0,West 6th Street,,82654047.0,82530586.0,21.0,1.0,1574082.0,173962.0,0.0864878,60.0,0.0014415,1000000.0,-97.3311094,32.7529003,-97.3319117,32.7525134,86.5578055226,,"LINESTRING (709526.0516970799 2121061.0235870443, 709517.4304365786 2121055.981776409, 709476.3818724402 2121031.9490246754, 709457.7336680756 2121021.018160969, 709451.3561282983 2121017.2877332717)"
15,23630,209002.0,10058031.0,Houston Street,,82482159.0,82489543.0,21.0,3.0,153319.0,154034.0,0.0823684,60.0,0.0013728,1000000.0,-97.3332452,32.7560726,-97.3328256,32.7554213,82.2291451795,,"LINESTRING (709322.0282445891 2121410.545417959, 709357.9566615641 2121346.2598934975, 709362.1442165391 2121338.7656080816)"
16,25792,191354.0,10046835.0,Throckmorton Street,,82530586.0,82530585.0,31.0,3.0,173962.0,158376.0,0.079574,40.0,0.0019894,1000000.0,-97.3319117,32.7525134,-97.3323393,32.7531321,79.4491082512,,"LINESTRING (709451.3561282983 2121017.2877332717, 709447.5368733082 2121023.6660444457, 709414.6059718425 2121078.625090763, 709410.5288542856 2121085.444126768)"
17,26866,1953808.0,115075072.0,Houston Street,,82654047.0,82560685.0,31.0,3.0,1574082.0,1574083.0,0.0797444,40.0,0.0019936,1000000.0,-97.3311094,32.7529003,-97.3306889,32.7522764,79.6162659562,,"LINESTRING (709526.0516970799 2121061.0235870443, 709529.786785921 2121054.6332797892, 709561.9795636457 2120999.5444120876, 709566.2210428269 2120992.2836899925)"
18,26893,195561.0,10049474.0,West 7th Street,,82560685.0,82484589.0,21.0,1.0,1574083.0,161535.0,0.0846654,60.0,0.0014111,1000000.0,-97.3306889,32.7522764,-97.3299034,32.752655,84.7345698929,,"LINESTRING (709566.2210428269 2120992.2836899925, 709572.3657950351 2120995.8785278834, 709630.4706030885 2121029.8825083915, 709639.3524513652 2121035.082572894)"
19,27120,229716.0,10071309.0,North Houston Street,,82709329.0,82767480.0,15.0,1.0,178965.0,187033.0,0.058394,70.0,0.0008342,1000000.0,-97.3339585,32.7580457,-97.3342858,32.7576129,58.3177626188,,"LINESTRING (709252.76857573 2121628.5819240995, 709243.8471266082 2121616.850089552, 709230.3385513028 2121602.195194034, 709225.8252013521 2121595.1587675363, 709224.7306652298 2121591.6201830674, 709223.9253588056 2121589.038499156, 709222.6360536133 2121580.252453955)"
20,27812,180787.0,10040064.0,East 6th Street,,82446438.0,82446435.0,21.0,1.0,184786.0,150533.0,0.0610205,60.0,0.001017,1000000.0,-97.3274839,32.7546481,-97.3280509,32.7543765,61.0707491365,,"LINESTRING (709863.5846862078 2121258.6062443573, 709833.9038177648 2121241.341438446, 709826.1298024999 2121236.818921393, 709810.7958878793 2121227.8982784804)"
21,28409,211079.0,10059561.0,West Weatherford Street,,6138269456.0,82431904.0,21.0,1.0,178443.0,173202.0,0.0807,60.0,0.001345,1000000.0,-97.3360162,32.7556185,-97.3352664,32.7559778,80.7664600449,,"LINESTRING (709062.9627318203 2121357.314377006, 709065.9793585591 2121359.066663621, 709077.2914842729 2121365.657150775, 709132.7724222229 2121397.9324477743)"
22,28424,212133.0,10060237.0,West 6th Street,,82446429.0,82654047.0,21.0,1.0,173961.0,1574082.0,0.0839503,60.0,0.0013992,1000000.0,-97.3303306,32.7532758,-97.3311094,32.7529003,84.0184794975,,"LINESTRING (709598.5588240653 2121103.47145373, 709589.9842387536 2121098.452277163, 709531.6284507941 2121064.2904863805, 709526.0516970799 2121061.0235870443)"
23,28441,221827.0,10066173.0,North Main Street,,82725577.0,1301671780.0,15.0,1.0,181046.0,181047.0,0.0075281,70.0,0.0001075,0.0001075,-97.3338915,32.7585207,-97.3339318,32.7585793,7.51544556478,B,"LINESTRING (709258.4612208077 2121681.31990353, 709254.6133709447 2121687.7755966354)"
24,29966,222089.0,10066352.0,East 7th Street,,82529601.0,1039868471.0,21.0,1.0,181253.0,181254.0,0.0520629,60.0,0.0008677,1000000.0,-97.327609,32.7537692,-97.3271279,32.7540047,52.1030796236,,"LINESTRING (709852.9511197814 2121161.022530509, 709865.9750723512 2121168.6976168435, 709874.8210502238 2121173.731155148, 709879.5048352858 2121176.389456533, 709897.7364333274 2121187.638070926)"
